Day;Hour;Price (Kč/MWh)
22.01.2024;16;2 372,74
22.01.2024;17;2 228,85
22.01.2024;18;2 268,97
22.01.2024;19;2 017,11
22.01.2024;20;2 846,24
22.01.2024;21;2 203,34
22.01.2024;22;1 733,55
22.01.2024;23;2 228,85
22.01.2024;24;1 981,20
23.01.2024;1;1 544,49
23.01.2024;2;1 682,57
23.01.2024;3;1 739,20
23.01.2024;4;1 680,34
23.01.2024;5;1 682,57
23.01.2024;6;1 739,20
23.01.2024;7;2 864,97
23.01.2024;8;2 818,03
23.01.2024;9;2 731,85
23.01.2024;10;2 384,16
23.01.2024;11;1 974,38
23.01.2024;12;1 687,29
23.01.2024;13;1 539,77
23.01.2024;14;1 578,02
23.01.2024;15;1 812,96
23.01.2024;16;2 086,14
23.01.2024;17;2 144,01
23.01.2024;18;1 949,30
23.01.2024;19;1 913,29
23.01.2024;20;2 290,28
23.01.2024;21;2 384,16
23.01.2024;22;2 160,65
23.01.2024;23;1 682,57
23.01.2024;24;1 553,93
24.01.2024;1;1 699,26
24.01.2024;2;1 536,92
24.01.2024;3;1 499,49
24.01.2024;4;1 479,67
24.01.2024;5;1 475,20
24.01.2024;6;1 432,33
24.01.2024;7;2 478,50
24.01.2024;8;2 478,50
24.01.2024;9;2 234,37
24.01.2024;10;2 273,78
24.01.2024;11;2 478,50
24.01.2024;12;2 532,78
24.01.2024;13;2 478,50
24.01.2024;14;2 594,25
24.01.2024;15;2 230,65
24.01.2024;16;2 230,65
24.01.2024;17;2 073,02
24.01.2024;18;2 030,14
24.01.2024;19;1 790,47
24.01.2024;20;1 522,79
24.01.2024;21;1 470,74
24.01.2024;22;1 196,62
24.01.2024;23;1 153,00
24.01.2024;24;1 103,43
25.01.2024;1;1 178,08
25.01.2024;2;1 178,82
25.01.2024;3;1 143,66
25.01.2024;4;1 152,33
25.01.2024;5;1 183,03
25.01.2024;6;1 314,76
25.01.2024;7;1 763,41
25.01.2024;8;1 810,20
25.01.2024;9;2 260,09
25.01.2024;10;2 175,41
25.01.2024;11;2 077,12
25.01.2024;12;1 947,62
25.01.2024;13;1 855,76
25.01.2024;14;1 932,02
25.01.2024;15;2 128,87
25.01.2024;16;2 285,60
25.01.2024;17;2 499,03
25.01.2024;18;2 976,65
25.01.2024;19;2 828,58
25.01.2024;20;2 450,00
25.01.2024;21;2 245,73
25.01.2024;22;2 131,59
25.01.2024;23;1 979,31
25.01.2024;24;1 852,54
26.01.2024;1;1 553,67
26.01.2024;2;1 533,88
26.01.2024;3;1 447,04
26.01.2024;4;1 441,11
26.01.2024;5;1 568,02
26.01.2024;6;1 695,68
26.01.2024;7;2 028,68
26.01.2024;8;2 350,30
26.01.2024;9;2 472,76
26.01.2024;10;2 093,99
26.01.2024;11;1 884,69
26.01.2024;12;1 937,64
26.01.2024;13;1 799,59
26.01.2024;14;1 807,26
26.01.2024;15;2 114,78
26.01.2024;16;2 436,15
26.01.2024;17;2 259,26
26.01.2024;18;2 348,07
26.01.2024;19;2 226,60
26.01.2024;20;2 123,93
26.01.2024;21;1 841,89
26.01.2024;22;1 702,11
26.01.2024;23;1 531,41
26.01.2024;24;1 459,66
27.01.2024;1;1 414,63
27.01.2024;2;1 383,46
27.01.2024;3;1 398,31
27.01.2024;4;1 364,41
27.01.2024;5;1 379,50
27.01.2024;6;1 405,97
27.01.2024;7;1 473,51
27.01.2024;8;1 629,38
27.01.2024;9;1 863,91
27.01.2024;10;1 800,08
27.01.2024;11;1 496,52
27.01.2024;12;1 404,00
27.01.2024;13;1 381,48
27.01.2024;14;1 332,99
27.01.2024;15;1 476,73
27.01.2024;16;1 794,39
27.01.2024;17;1 979,20
27.01.2024;18;2 219,18
27.01.2024;19;2 368,61
27.01.2024;20;2 283,01
27.01.2024;21;2 094,98
27.01.2024;22;1 929,47
27.01.2024;23;1 879,50
27.01.2024;24;1 798,60
28.01.2024;1;1 651,89
28.01.2024;2;1 504,19
28.01.2024;3;1 468,07
28.01.2024;4;1 468,81
28.01.2024;5;1 499,99
28.01.2024;6;1 563,32
28.01.2024;7;1 480,19
28.01.2024;8;1 571,49
28.01.2024;9;1 581,13
28.01.2024;10;1 497,51
28.01.2024;11;1 424,03
28.01.2024;12;1 398,80
28.01.2024;13;1 310,48
28.01.2024;14;1 213,00
28.01.2024;15;1 446,80
28.01.2024;16;1 639,27
28.01.2024;17;1 929,47
28.01.2024;18;2 098,69
28.01.2024;19;2 017,79
28.01.2024;20;1 957,18
28.01.2024;21;1 905,23
28.01.2024;22;1 642,98
28.01.2024;23;1 592,51
28.01.2024;24;1 385,44
29.01.2024;1;1 240,01
29.01.2024;2;1 172,76
29.01.2024;3;1 194,10
29.01.2024;4;1 190,38
29.01.2024;5;1 279,96
29.01.2024;6;1 490,39
29.01.2024;7;2 120,69
29.01.2024;8;2 357,43
29.01.2024;9;2 468,35
29.01.2024;10;2 193,40
29.01.2024;11;1 957,90
29.01.2024;12;1 768,57
29.01.2024;13;1 743,01
29.01.2024;14;1 855,42
29.01.2024;15;2 040,04
29.01.2024;16;2 421,94
29.01.2024;17;2 690,69
29.01.2024;18;3 147,54
29.01.2024;19;2 901,87
29.01.2024;20;2 668,11
29.01.2024;21;2 276,28
29.01.2024;22;2 145,75
29.01.2024;23;2 068,83
29.01.2024;24;1 992,40
30.01.2024;1;1 786,63
30.01.2024;2;1 708,15
30.01.2024;3;1 722,80
30.01.2024;4;1 671,64
30.01.2024;5;1 664,19
30.01.2024;6;1 722,80
30.01.2024;7;2 055,84
30.01.2024;8;2 314,62
30.01.2024;9;2 385,40
30.01.2024;10;2 109,24
30.01.2024;11;1 916,02
30.01.2024;12;1 740,93
30.01.2024;13;1 691,26
30.01.2024;14;1 694,49
30.01.2024;15;1 786,38
30.01.2024;16;2 083,91
30.01.2024;17;2 160,65
30.01.2024;18;2 266,69
30.01.2024;19;2 372,24
30.01.2024;20;2 306,92
30.01.2024;21;2 215,28
30.01.2024;22;1 951,53
30.01.2024;23;1 884,98
30.01.2024;24;1 786,63
31.01.2024;1;1 787,74
31.01.2024;2;1 751,41
31.01.2024;3;1 764,10
31.01.2024;4;1 737,47
31.01.2024;5;1 717,31
31.01.2024;6;1 831,04
31.01.2024;7;2 114,48
31.01.2024;8;2 668,17
31.01.2024;9;3 010,34
31.01.2024;10;2 328,74
31.01.2024;11;2 064,96
31.01.2024;12;1 918,39
31.01.2024;13;1 864,14
31.01.2024;14;1 741,95
31.01.2024;15;2 186,15
31.01.2024;16;2 195,36
31.01.2024;17;2 239,65
31.01.2024;18;2 423,80
31.01.2024;19;2 488,50
31.01.2024;20;2 707,24
31.01.2024;21;2 737,35
31.01.2024;22;2 314,31
31.01.2024;23;1 990,80
31.01.2024;24;1 704,62
01.02.2024;1;2 148,19
01.02.2024;2;2 365,03
01.02.2024;3;1 991,85
01.02.2024;4;1 991,85
01.02.2024;5;1 991,85
01.02.2024;6;2 168,36
01.02.2024;7;2 365,03
01.02.2024;8;2 489,50
01.02.2024;9;2 358,30
01.02.2024;10;2 205,45
01.02.2024;11;2 097,40
01.02.2024;12;2 064,29
01.02.2024;13;2 068,03
01.02.2024;14;2 293,08
01.02.2024;15;2 194,49
01.02.2024;16;2 158,89
01.02.2024;17;2 256,48
01.02.2024;18;2 339,63
01.02.2024;19;2 335,40
01.02.2024;20;2 501,95
01.02.2024;21;2 267,44
01.02.2024;22;2 076,24
01.02.2024;23;2 039,15
01.02.2024;24;1 828,29
02.02.2024;1;1 597,72
02.02.2024;2;1 491,01
02.02.2024;3;1 442,75
02.02.2024;4;1 360,41
02.02.2024;5;1 462,15
02.02.2024;6;1 557,92
02.02.2024;7;2 611,88
02.02.2024;8;2 736,25
02.02.2024;9;2 595,21
02.02.2024;10;2 223,58
